model,category,generic_accuracy,framework_accuracy,accuracy_diff_generic_minus_framework,z_statistic,p_value,significant_at_0.05
Qwen/Qwen2.5-7B-Instruct,issue-spotting,0.944973544973545,0.9271604938271605,0.01781305114638454,2.6471802887419047,0.008116606782675229,True
Qwen/Qwen2.5-7B-Instruct,rule-recall,0.5213403880070546,0.47818930041152263,0.04315108759553199,3.121792156898336,0.0017975379363723842,True
Qwen/Qwen2.5-7B-Instruct,rule-application_conclusion,0.44585537918871254,0.3724279835390947,0.07342739564961787,5.396432248535721,6.797906437761014e-08,True
Qwen/Qwen2.5-7B-Instruct,interpretation,0.6246913580246913,0.009876543209876543,0.6148148148148148,46.91656591825784,0.0,True
Qwen/Qwen2.5-7B-Instruct,rhetorical-understanding,0.25502645502645505,0.00041152263374485596,0.2546149323927102,26.743466021183973,0.0,True
Qwen/Qwen2.5-7B-Instruct,__OVERALL__,0.5583774250440917,0.35761316872427984,0.20076425631981187,32.55405956156935,0.0,True
Qwen/Qwen2.5-14B-Instruct,issue-spotting,0.9142857142857143,0.8345679012345679,0.07971781305114634,8.794950246978708,0.0,True
Qwen/Qwen2.5-14B-Instruct,rule-recall,0.5686067019400353,0.4831275720164609,0.08547912992357437,6.194555233348718,5.844984496405914e-10,True
Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,0.5594356261022928,0.3530864197530864,0.2063492063492064,14.96681929564711,0.0,True
Qwen/Qwen2.5-14B-Instruct,interpretation,0.5774250440917108,0.00041152263374485596,0.5770135214579659,45.08521239832872,0.0,True
Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,0.27936507936507937,0.0,0.27936507936507937,28.267599833465287,0.0,True
Qwen/Qwen2.5-14B-Instruct,__OVERALL__,0.5798236331569665,0.334238683127572,0.2455849500293945,39.817643719581866,0.0,True
Qwen/Qwen2.5-32B-Instruct,issue-spotting,0.9308641975308642,0.937037037037037,-0.006172839506172756,-0.8975221824132862,0.3694403421455421,False
Qwen/Qwen2.5-32B-Instruct,rule-recall,0.5019400352733686,0.46213991769547325,0.039800117577895366,2.880908120835887,0.003965312138048738,True
Qwen/Qwen2.5-32B-Instruct,rule-application_conclusion,0.5421516754850089,0.5176954732510288,0.02445620223398004,1.772672430759253,0.0762830019713654,False
Qwen/Qwen2.5-32B-Instruct,interpretation,0.6853615520282187,0.0831275720164609,0.6022339800117578,44.335658891581275,0.0,True
Qwen/Qwen2.5-32B-Instruct,rhetorical-understanding,0.2641975308641975,0.00041152263374485596,0.2637860082304527,27.300531556286845,0.0,True
Qwen/Qwen2.5-32B-Instruct,__OVERALL__,0.5849029982363315,0.400082304526749,0.18482069370958254,29.89828054314262,0.0,True
__ALL_MODELS_POOLED__,__OVERALL__,0.5743680188124632,0.36397805212620027,0.21038996668626297,59.010671087870094,0.0,True
