model_a,model_b,category,strategy,n_matched_pairs,both_correct,both_wrong,a_correct_b_wrong,a_wrong_b_correct,accuracy_a,accuracy_b,test_statistic,p_value,method,significant_at_0.05
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,issue-spotting,zero_shot,405,366,9,22,8,0.9580246913580247,0.9234567901234568,5.633333333333334,0.017622090962324415,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,issue-spotting,one_shot,405,359,7,29,10,0.9580246913580247,0.9111111111111111,8.307692307692308,0.00394775185690346,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,issue-spotting,few_shot_2,405,351,24,16,14,0.9061728395061729,0.9012345679012346,0.03333333333333333,0.8551321405847059,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,issue-spotting,few_shot_3,405,350,4,34,17,0.9481481481481482,0.9061728395061729,5.019607843137255,0.025061844343883623,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,issue-spotting,role_based,405,366,4,25,10,0.9654320987654321,0.928395061728395,5.6,0.01796047752607879,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,issue-spotting,structured,405,368,5,29,3,0.980246913580247,0.9160493827160494,19.53125,9.896734625245616e-06,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,issue-spotting,cot,405,345,16,19,25,0.8987654320987655,0.9135802469135802,0.5681818181818182,0.45098231926888255,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,issue-spotting,irac,405,320,15,51,19,0.9160493827160494,0.837037037037037,13.728571428571428,0.0002112167580356122,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,issue-spotting,crac,405,359,13,26,7,0.9506172839506173,0.9037037037037037,9.818181818181818,0.001727950774169049,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,issue-spotting,creac,405,357,9,33,6,0.9629629629629629,0.8962962962962963,17.333333333333332,3.136368144425899e-05,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,issue-spotting,cleo,405,347,24,23,11,0.9135802469135802,0.8839506172839506,3.5588235294117645,0.0592297037272794,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,issue-spotting,treacc,405,255,26,112,12,0.9061728395061729,0.6592592592592592,79.04032258064517,6.085509825194001e-19,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,issue-spotting,ireac,405,322,22,48,13,0.9135802469135802,0.8271604938271605,18.950819672131146,1.3413164157049882e-05,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-recall,zero_shot,405,164,119,47,75,0.5209876543209877,0.5901234567901235,5.975409836065574,0.01450670981454053,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-recall,one_shot,405,124,89,88,104,0.5234567901234568,0.562962962962963,1.171875,0.27901631321136067,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-recall,few_shot_2,405,188,128,49,40,0.5851851851851851,0.562962962962963,0.7191011235955056,0.3964389152571208,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-recall,few_shot_3,405,197,128,33,47,0.5679012345679012,0.6024691358024692,2.1125,0.14610046596341816,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-recall,role_based,405,125,104,62,114,0.4617283950617284,0.5901234567901235,14.778409090909092,0.00012091200127800366,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-recall,structured,405,138,99,81,87,0.5407407407407407,0.5555555555555556,0.1488095238095238,0.6996756256347048,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-recall,cot,405,111,125,71,98,0.44938271604938274,0.5160493827160494,4.0,0.04550026389635857,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-recall,irac,405,148,179,38,40,0.45925925925925926,0.4641975308641975,0.01282051282051282,0.9098500327472845,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-recall,crac,405,111,105,87,102,0.4888888888888889,0.5259259259259259,1.037037037037037,0.3085115813387203,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-recall,creac,405,140,71,94,100,0.5777777777777777,0.5925925925925926,0.12886597938144329,0.7196107398947735,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-recall,cleo,405,120,174,63,48,0.45185185185185184,0.4148148148148148,1.7657657657657657,0.18390696814493704,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-recall,treacc,405,138,190,40,37,0.43950617283950616,0.43209876543209874,0.05194805194805195,0.8197075378297882,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-recall,ireac,405,146,178,37,44,0.45185185185185184,0.4691358024691358,0.4444444444444444,0.5049850750938457,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,zero_shot,405,135,147,60,63,0.48148148148148145,0.4888888888888889,0.032520325203252036,0.8568904224126171,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,one_shot,405,102,150,54,99,0.3851851851851852,0.4962962962962963,12.65359477124183,0.00037484423386773523,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,few_shot_2,405,100,128,55,122,0.38271604938271603,0.5481481481481482,24.610169491525422,7.018039457324561e-07,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,few_shot_3,405,103,145,56,101,0.3925925925925926,0.5037037037037037,12.331210191082803,0.00044544752919060027,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,role_based,405,131,92,43,139,0.42962962962962964,0.6666666666666666,49.58791208791209,1.8967878936872072e-12,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,structured,405,151,107,60,87,0.5209876543209877,0.5876543209876544,4.598639455782313,0.03199733937639159,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,cot,405,147,85,67,106,0.528395061728395,0.6246913580246913,8.346820809248555,0.0038636277603925984,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,irac,405,86,137,85,97,0.4222222222222222,0.45185185185185184,0.6648351648351648,0.41485812014624135,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,crac,405,89,200,53,63,0.3506172839506173,0.37530864197530867,0.6982758620689655,0.4033636366998459,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,creac,405,85,226,34,60,0.2938271604938272,0.35802469135802467,6.648936170212766,0.009921504538268757,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,cleo,405,92,163,70,80,0.4,0.4246913580246914,0.54,0.4624327264504763,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,treacc,405,28,251,106,20,0.3308641975308642,0.11851851851851852,57.34126984126984,3.6638600765768455e-14,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rule-application_conclusion,ireac,405,78,148,99,80,0.43703703703703706,0.39012345679012345,1.8100558659217878,0.17850152838613065,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,interpretation,zero_shot,405,208,113,47,37,0.6296296296296297,0.6049382716049383,0.9642857142857143,0.3261094520204862,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,interpretation,one_shot,405,174,93,55,83,0.5654320987654321,0.6345679012345679,5.282608695652174,0.021539452429296814,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,interpretation,few_shot_2,405,184,59,87,75,0.6691358024691358,0.6395061728395062,0.7469135802469136,0.38745517229718685,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,interpretation,few_shot_3,405,208,63,67,67,0.6790123456790124,0.6790123456790124,0.007462686567164179,0.9311589059465123,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,interpretation,role_based,405,219,90,64,32,0.6987654320987654,0.6197530864197531,10.010416666666666,0.001556573024883615,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,interpretation,structured,405,129,146,103,27,0.5728395061728395,0.3851851851851852,43.26923076923077,4.7702619838691284e-11,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,interpretation,cot,405,139,124,87,55,0.5580246913580247,0.47901234567901235,6.767605633802817,0.009282729146652815,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,interpretation,irac,405,0,405,0,0,0.0,0.0,,1.0,no_discordant_pairs,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,interpretation,crac,405,0,404,1,0,0.0024691358024691358,0.0,,1.0,exact_binomial,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,interpretation,creac,405,0,390,15,0,0.037037037037037035,0.0,,6.103515625e-05,exact_binomial,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,interpretation,cleo,405,0,400,4,1,0.009876543209876543,0.0024691358024691358,,0.375,exact_binomial,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,interpretation,treacc,405,0,403,2,0,0.0049382716049382715,0.0,,0.5,exact_binomial,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,interpretation,ireac,405,0,403,2,0,0.0049382716049382715,0.0,,0.5,exact_binomial,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,zero_shot,405,44,283,37,41,0.2,0.20987654320987653,0.11538461538461539,0.7340951823194757,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,one_shot,405,68,245,48,44,0.28641975308641976,0.2765432098765432,0.09782608695652174,0.7544541774940892,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,few_shot_2,405,69,230,48,58,0.28888888888888886,0.3135802469135803,0.7641509433962265,0.3820326092369133,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,few_shot_3,405,81,214,30,80,0.2740740740740741,0.39753086419753086,21.827272727272728,2.983293529378917e-06,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,role_based,405,38,257,53,57,0.22469135802469137,0.2345679012345679,0.08181818181818182,0.774848422162878,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,structured,405,52,248,45,60,0.23950617283950618,0.2765432098765432,1.8666666666666667,0.17185733906279532,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,cot,405,58,253,52,42,0.2716049382716049,0.24691358024691357,0.8617021276595744,0.3532628012845984,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,irac,405,0,405,0,0,0.0,0.0,,1.0,no_discordant_pairs,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,crac,405,0,405,0,0,0.0,0.0,,1.0,no_discordant_pairs,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,creac,405,0,404,1,0,0.0024691358024691358,0.0,,1.0,exact_binomial,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,cleo,405,0,405,0,0,0.0,0.0,,1.0,no_discordant_pairs,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,treacc,405,0,405,0,0,0.0,0.0,,1.0,no_discordant_pairs,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-14B-Instruct,rhetorical-understanding,ireac,405,0,405,0,0,0.0,0.0,,1.0,no_discordant_pairs,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,zero_shot,405,378,7,10,10,0.9580246913580247,0.9580246913580247,,1.0,exact_binomial,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,one_shot,405,362,11,26,6,0.9580246913580247,0.908641975308642,11.28125,0.0007829382178911184,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,few_shot_2,405,360,20,7,18,0.9061728395061729,0.9333333333333333,4.0,0.04550026389635857,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,few_shot_3,405,359,18,25,3,0.9481481481481482,0.8938271604938272,15.75,7.228793882618061e-05,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,role_based,405,368,3,23,11,0.9654320987654321,0.9358024691358025,3.5588235294117645,0.0592297037272794,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,structured,405,372,5,25,3,0.980246913580247,0.9259259259259259,15.75,7.228793882618061e-05,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,cot,405,359,11,5,30,0.8987654320987655,0.9604938271604938,16.457142857142856,4.976233487907417e-05,chi_square_corrected,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,irac,405,358,20,13,14,0.9160493827160494,0.9185185185185185,0.0,1.0,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,crac,405,378,11,7,9,0.9506172839506173,0.9555555555555556,,0.803619384765625,exact_binomial,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,creac,405,385,9,5,6,0.9629629629629629,0.9654320987654321,,1.0,exact_binomial,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,cleo,405,361,16,9,19,0.9135802469135802,0.9382716049382716,2.892857142857143,0.08897301170181328,chi_square_corrected,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-32B-Instruct,issue-spotting,treacc,405,352,18,15,20,0.9061728395061729,0.9185185185185185,0.45714285714285713,0.49896229860376107,chi_square_corrected,False
